company_name,industry,new_workers,ranking
"Atlas MedStaff",Health,500,140
"Crunch Fitness West Florida and Atlanta (CR Fitness)","Consumer Products & Services",500,140
Victra,Retail,500,140
"The Woodhouse Day Spas",Health,500,140
"Primary Staffing","Human Resources",500,140
Readerlink,"Consumer Products & Services",500,140
"PT Solutions Physical Therapy",Health,493,141
ServiceTitan,Software,489,142
"Jade Global","IT Management",486,143
TruFusion,"Consumer Products & Services",481,144
"Credence Management Solutions","Government Services",479,145
"The Garland Company",Manufacturing,477,146
"The Agency","Real Estate",475,147
Veyo,Health,469,148
Mailchimp,"Advertising & Marketing",466,149
"Karya Property Management","Real Estate",465,150
Placers,"Human Resources",465,150
"Carahsoft Technology","Government Services",462,151
"CapTech Ventures","IT Management",462,151
KnowBe4,Security,450,152
BairesDev,"IT System Development",450,152
Printful,"Consumer Products & Services",444,153
Datavail,"IT Management",443,154
SupportNinja,"Business Products & Services",441,155
"Quaker Window Products",Manufacturing,440,156
"Mako Medical Laboratories",Health,437,157
"Convene (New York, NY)","Real Estate",437,157
"Center for Social Dynamics",Health,436,158
"MaxGen Energy Services",Energy,434,159
"Alliance Family of Companies",Health,434,159
TalEx,"Human Resources",430,160
ShipBob,"Logistics & Transportation",425,161
Ampcus,"IT System Development",425,161
"Landmark Properties","Real Estate",416,162
"Plasticard Locktech International",Manufacturing,416,162
Podium,Software,413,163
"Diligent Corporation",Software,410,164
"Nolan Transportation Group","Logistics & Transportation",404,165
"Curriculum Associates",Education,403,166
"Coast Professional","Financial Services",402,167
"V-Soft Consulting Group","IT Management",402,167
Zerto,"IT Management",400,168
Smarsh,Software,400,168
MediRevv,Health,400,168
"KMS Technology","IT Management",400,168
"City Wide Franchise Company","Business Products & Services",400,168
Itransition,"IT Management",400,168
"Modern Technology Solutions",Engineering,400,168
"Cardinal Staffing Services","Human Resources",400,168
"Integrity Express Logistics","Logistics & Transportation",398,169
Clearent,"Financial Services",398,169
Malwarebytes,Security,397,170
"Nationwide Mortgage Bankers","Financial Services",396,171
"American Technologies",Construction,394,172
"Logical Position","Advertising & Marketing",392,173
"Phaidon International","Human Resources",388,174
Workfront,Software,385,175
"Global Lending Services","Financial Services",384,176
"Pye-Barker Fire","Business Products & Services",383,177
Tinuiti,"Advertising & Marketing",380,178
Scorpion,"Advertising & Marketing",380,178
"ESC Choice","Human Resources",379,179
"Derm Holdings",Health,378,180
Amtel,Retail,378,180
Snapsheet,Insurance,377,181
10Pearls,"IT Services",377,181
"CMR Construction & Roofing",Construction,375,182
"TISTA Science and Technology","Government Services",373,183
"Aevex Aerospace","Government Services",369,184
Spectra360,"Human Resources",368,185
VDart,"IT Management",364,186
Saxbys,"Food & Beverage",360,187
"Coherent Solutions",Software,360,187
ISN,"Government Services",357,188
CI&T,"Business Products & Services",357,188
"BarnAllen Technologies","IT Management",351,189
Lexitas,"Business Products & Services",351,189
"AML RightSource","Financial Services",350,190
Cumming,Construction,350,190
"Tilson Technology Management",Telecommunications,349,191
"Stake Center Locating",Construction,349,191
Capacity,"Logistics & Transportation",348,192
Carta,"Financial Services",345,193
Ibotta,"Consumer Products & Services",345,193
ShipEX,"Logistics & Transportation",343,194
"Little Sunshine's Playhouse",Education,343,194
"Big-D Construction Corp.",Construction,341,195
Endurance,"Consumer Products & Services",336,196
"The Siegfried Group","Financial Services",336,196
"The Northbridge Companies",Health,336,196
"ThreeBridge Solutions","IT Services",334,197
AppsFlyer,Software,332,198
"Grow Op Farms","Consumer Products & Services",330,199
"Cheba Hut Toasted Subs","Food & Beverage",330,199
